Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
3993,239.34,1.369,280,328,170,0.8543,31.32,26,101.0299704517,0,0,1,-0.0767861412,NN
3994,239.36,1.371,280,328,171,0.8537,31.38,26,100.9531843104,1,1,0,-0.1275735269,NN
3995,239.36,1.374,281,329,171,0.8541,31.34,26,100.8256107835,-1,-1,0,0.0723656077,NN
3996,239.33,1.372,280,328,171,0.8539,31.36,26,100.8979763912,1,0,-1,0,NN
3997,239.33,1.372,281,328,170,0.855,31.24,26,100.8979763912,0,0,0,0.0425550301,NN
3998,239.33,1.371,281,328,170,0.8556,31.18,26,100.9405314213,0,0,0,0.0084352594,NN
3999,239.35,1.371,281,328,170,0.8555,31.19,26,100.9489666807,0,1,0,-0.135992797,NN
4000,239.33,1.374,281,329,170,0.8554,31.2,26,100.8129738837,0,0,1,-0.0382370416,NN
4001,239.34,1.375,281,329,171,0.8546,31.28,30,100.7747368421,1129,2431,2199,-82.2357911301,VON
4002,235.63,11.71,1410,2760,2370,0.5099,59.34,30,18.538945712,2100,1000,-1010,-5.6287483623,NN
4003,227,16.583,3510,3760,1360,0.9326,21.15,30,12.9101973497,-1020,-1150,-582,5.8992489044,NN
4004,230.98,11.28,2490,2610,778,0.9544,17.36,30,18.8094462541,-440,-480,-206,4.1528588574,NN
4005,232.7,9.134,2050,2130,572,0.9631,15.62,30,22.9623051115,-230,-250,-97,2.9176372963,NN
4006,233.67,8.029,1820,1880,475,0.9674,14.67,30,25.8799424078,-140,-150,-52,2.0311634073,NN
4007,234.23,7.392,1680,1730,423,0.9696,14.15,30,27.9111058151,-90,-90,-30,1.4222275183,NN
4008,234.52,6.995,1590,1640,393,0.9708,13.88,30,29.3333333333,-50,-60,-16,0.988372093,NN
4009,234.69,6.74,1540,1580,377,0.9712,13.78,30,30.3217054264,-40,-40,-9,0.6896492079,NN
4010,234.88,6.574,1500,1540,368,0.9711,13.8,30,31.0113546343,-30,-20,-6,0.4982311011,NN
4011,235.03,6.459,1470,1520,362,0.9712,13.78,30,31.5095857354,-20,-30,-9,0.4705584235,NN
4012,235.15,6.353,1450,1490,353,0.9717,13.67,30,31.9801441588,-10,-10,-3,0.3040013456,NN
4013,235.19,6.285,1440,1480,350,0.9715,13.71,30,32.2841455045,-10,-10,1,0.1630885968,NN
4014,235.21,6.249,1430,1470,351,0.971,13.83,30,32.4472341013,-10,-10,-2,0.1768990471,NN
4015,235.22,6.21,1420,1460,349,0.971,13.82,30,32.6241331484,-10,0,0,0.1123721382,NN
4016,235.31,6.188,1410,1460,349,0.9709,13.87,30,32.7365052866,0,-10,-3,0.1190409554,NN
4017,235.18,6.158,1410,1450,346,0.971,13.83,30,32.855546242,0,0,1,0.0313543592,NN
4018,235.24,6.153,1410,1450,347,0.9708,13.89,30,32.8869006011,-10,-10,-2,0.0917929789,NN
4019,235.27,6.134,1400,1440,345,0.971,13.83,30,32.97869358,0,0,0,0.0249540069,NN
4020,235.25,6.128,1400,1440,345,0.9709,13.86,30,33.003647587,0,0,3,-0.0277574833,NN
4021,235.25,6.134,1400,1440,348,0.9705,13.94,30,32.9758901037,0,0,0,0.0199023226,NN
4022,235.26,6.13,1400,1440,348,0.9705,13.95,30,32.9957924264,0,0,-2,0.0509838062,NN
4023,235.26,6.119,1400,1440,346,0.9707,13.9,30,33.0467762326,-10,0,-2,0.0608944219,NN
4024,235.23,6.105,1390,1440,344,0.9709,13.86,30,33.1076706545,0,0,-1,0.0219068103,NN
4025,235.22,6.1,1390,1440,343,0.9709,13.85,30,33.1295774648,0,-10,-1,0.0336590731,NN
4026,235.26,6.094,1390,1430,342,0.9711,13.82,30,33.1632365379,0,0,-1,0.0388520875,NN
4027,235.27,6.086,1390,1430,341,0.9713,13.76,30,33.2020886255,0,0,-5,0.0657281166,NN
4028,235.27,6.072,1390,1430,336,0.9719,13.62,30,33.2678167421,0,0,5,-0.0961907373,NN
4029,235.22,6.091,1390,1430,341,0.9713,13.75,30,33.1716260048,0,0,2,-0.0504992442,NN
4030,235.16,6.1,1390,1430,343,0.9709,13.85,30,33.1211267606,0,10,0,0.0295002649,NN
4031,235.27,6.097,1390,1440,343,0.9711,13.82,30,33.1506270255,0,-10,0,-0.0014090461,NN
4032,235.26,6.097,1390,1430,343,0.971,13.82,30,33.1492179794,0,0,-1,0.0097896326,NN
4033,235.23,6.094,1390,1430,342,0.9711,13.81,30,33.1590076121,0,0,-1,0.0149912599,NN
4034,235.27,6.092,1390,1430,341,0.9713,13.77,30,33.173998872,0,0,-2,0.0280897535,NN
4035,235.27,6.086,1390,1430,339,0.9716,13.69,30,33.2020886255,0,0,0,0.005591736,NN
4036,235.21,6.083,1390,1430,339,0.9715,13.71,30,33.2076803614,0,0,3,-0.0448896638,NN
4037,235.29,6.095,1390,1430,342,0.9711,13.81,30,33.1627906977,0,0,-1,0.0200535461,NN
4038,235.2,6.088,1390,1430,341,0.9712,13.79,30,33.1828442438,0,10,3,-0.0513319937,NN
4039,235.3,6.102,1390,1440,344,0.9709,13.86,30,33.1315122501,0,-10,-2,0.0345435718,NN
4040,235.28,6.094,1390,1430,342,0.9711,13.8,30,33.1660558218,0,10,2,-0.0294361035,NN
4041,235.27,6.1,1390,1440,344,0.9709,13.85,30,33.1366197183,0,-10,-4,0.0734311004,NN
4042,235.26,6.084,1390,1430,340,0.9714,13.73,30,33.2100508187,0,0,3,-0.0650599775,NN
4043,235.23,6.097,1390,1430,343,0.971,13.84,30,33.1449908412,0,0,0,0.0014090461,NN
4044,235.24,6.097,1390,1430,343,0.971,13.83,30,33.1463998873,0,10,1,-0.0257126601,NN
